Frequency_Hz,PSD
-8090820.312,4.709902895e-09
-8085937.5,2.978346135e-09
-8081054.688,4.658930342e-09
-8076171.875,1.377917799e-08
-8071289.062,1.844610468e-09
-8066406.25,1.305206503e-08
-8061523.438,8.416044296e-10
-8056640.625,6.106155039e-09
-8051757.812,7.963978085e-09
-8046875,1.876534136e-08
-8041992.188,3.248168579e-08
-8037109.375,1.294259859e-08
-8032226.562,1.064696396e-08
-8027343.75,6.227486074e-09
-8022460.938,5.328832324e-09
-8017578.125,3.86681249e-10
-8012695.312,7.530891475e-10
-8007812.5,1.854561693e-09
-8002929.688,1.812420139e-08
-7998046.875,9.889407042e-10
-7993164.062,6.490618795e-10
-7988281.25,6.054350159e-08
-7983398.438,3.461623706e-08
-7978515.625,1.75798835e-09
-7973632.812,9.755584168e-11
-7968750,1.719046259e-08
-7963867.188,4.207214059e-09
-7958984.375,2.757798736e-08
-7954101.562,6.219919589e-09
-7949218.75,1.76276751e-08
-7944335.938,1.070493235e-08
-7939453.125,5.364389661e-09
-7934570.312,1.815120871e-08
-7929687.5,2.127928777e-09
-7924804.688,6.765553996e-10
-7919921.875,4.968918062e-09
-7915039.062,3.504194265e-08
-7910156.25,3.69864285e-08
-7905273.438,1.81320898e-08
-7900390.625,1.670256067e-09
-7895507.812,9.616726463e-09
-7890625,4.860411162e-09
-7885742.188,1.127904155e-08
-7880859.375,1.873899433e-08
-7875976.562,4.260647261e-09
-7871093.75,8.887230428e-09
-7866210.938,3.906033161e-09
-7861328.125,8.358475093e-09
-7856445.312,2.012434158e-08
-7851562.5,1.444160961e-08
-7846679.688,1.111071629e-08
-7841796.875,1.717825459e-08
-7836914.062,4.415623927e-09
-7832031.25,3.900129988e-10
-7827148.438,1.469428835e-08
-7822265.625,7.186864553e-09
-7817382.812,2.001153834e-08
-7812500,3.827145464e-08
-7807617.188,3.441593352e-09
-7802734.375,5.508782117e-09
-7797851.562,5.008451086e-08
-7792968.75,1.428719608e-08
-7788085.938,1.347010859e-08
-7783203.125,5.50599699e-09
-7778320.312,1.461637753e-08
-7773437.5,9.048907886e-09
-7768554.688,4.645714062e-08
-7763671.875,4.593396655e-10
-7758789.062,8.979785312e-09
-7753906.25,1.51493689e-08
-7749023.438,6.150735295e-10
-7744140.625,4.023616877e-09
-7739257.812,6.702570553e-09
-7734375,1.230437012e-08
-7729492.188,2.246531741e-08
-7724609.375,7.794259263e-09
-7719726.562,2.424218132e-09
-7714843.75,3.544346479e-08
-7709960.938,2.942530183e-09
-7705078.125,1.016297678e-09
-7700195.312,5.073471067e-11
-7695312.5,1.834665406e-08
-7690429.688,1.58138359e-09
-7685546.875,5.872610397e-09
-7680664.062,3.28013585e-09
-7675781.25,1.075927311e-07
-7670898.438,6.295826394e-09
-7666015.625,8.905519399e-10
-7661132.812,6.285246171e-09
-7656250,2.765681777e-08
-7651367.188,8.943154055e-09
-7646484.375,3.172330422e-09
-7641601.562,2.963363918e-09
-7636718.75,9.612314825e-09
-7631835.938,5.806493929e-09
-7626953.125,1.267208522e-10
-7622070.312,9.094135908e-09
-7617187.5,7.213546536e-09
-7612304.688,3.888387478e-09
-7607421.875,4.096347833e-09
-7602539.062,1.036731825e-09
-7597656.25,5.618712147e-08
-7592773.438,1.658540652e-09
-7587890.625,1.393044301e-09
-7583007.812,2.919170101e-09
-7578125,8.41865736e-10
-7573242.188,1.733153364e-08
-7568359.375,3.719705483e-08
-7563476.562,2.523820308e-08
-7558593.75,1.200300375e-09
-7553710.938,4.109219487e-09
-7548828.125,3.389640473e-08
-7543945.312,4.032487643e-08
-7539062.5,2.315961702e-08
-7534179.688,1.220246685e-08
-7529296.875,6.065167961e-09
-7524414.062,1.214277853e-08
-7519531.25,3.128063069e-08
-7514648.438,1.254965876e-08
-7509765.625,1.663279236e-08
-7504882.812,3.264344456e-08
-7500000,1.530629255e-08
-7495117.188,5.524640269e-08
-7490234.375,1.158024058e-08
-7485351.562,7.941881251e-09
-7480468.75,2.62026398e-09
-7475585.938,3.078153029e-10
-7470703.125,2.014539001e-08
-7465820.312,1.077357073e-08
-7460937.5,7.209774089e-09
-7456054.688,1.252477943e-08
-7451171.875,1.489749069e-08
-7446289.062,1.900277737e-08
-7441406.25,4.162785144e-08
-7436523.438,2.342149436e-08
-7431640.625,3.7146538e-08
-7426757.812,2.078733803e-08
-7421875,6.767665116e-09
-7416992.188,3.511742228e-09
-7412109.375,8.917963451e-09
-7407226.562,1.824442088e-09
-7402343.75,6.04738026e-09
-7397460.938,1.27258731e-08
-7392578.125,5.393154173e-09
-7387695.312,2.545570044e-08
-7382812.5,1.34012042e-08
-7377929.688,1.588509697e-08
-7373046.875,2.43205613e-08
-7368164.062,4.350241735e-09
-7363281.25,1.846846547e-08
-7358398.438,5.138525761e-09
-7353515.625,4.616050335e-09
-7348632.812,7.790061749e-09
-7343750,9.296544848e-10
-7338867.188,1.355746988e-08
-7333984.375,2.746666949e-08
-7329101.562,1.512122326e-09
-7324218.75,7.982769774e-09
-7319335.938,2.917866858e-08
-7314453.125,4.66046655e-10
-7309570.312,1.205843706e-08
-7304687.5,6.305366858e-09
-7299804.688,1.259445312e-09
-7294921.875,1.50451417e-08
-7290039.062,6.043957954e-09
-7285156.25,9.089680531e-09
-7280273.438,7.212445342e-08
-7275390.625,5.427351928e-08
-7270507.812,9.441023629e-09
-7265625,5.825072089e-09
-7260742.188,1.715021765e-09
-7255859.375,3.666560405e-09
-7250976.562,1.022262736e-08
-7246093.75,7.404474735e-09
-7241210.938,1.173895798e-08
-7236328.125,1.118834727e-08
-7231445.312,3.755743308e-10
-7226562.5,4.67965971e-09
-7221679.688,3.243675432e-10
-7216796.875,2.540206041e-08
-7211914.062,3.938082718e-08
-7207031.25,6.477447354e-09
-7202148.438,1.651595288e-09
-7197265.625,3.19206518e-08
-7192382.812,1.831494207e-09
-7187500,1.434511339e-08
-7182617.188,1.396281786e-08
-7177734.375,2.494364949e-09
-7172851.562,1.137442541e-09
-7167968.75,2.619399929e-08
-7163085.938,5.195328129e-10
-7158203.125,2.986016732e-09
-7153320.312,8.948935048e-09
-7148437.5,3.525871946e-08
-7143554.688,5.998943599e-08
-7138671.875,8.445271433e-09
-7133789.062,1.060766887e-08
-7128906.25,5.837692968e-09
-7124023.438,2.973876939e-10
-7119140.625,8.055642834e-09
-7114257.812,2.453322693e-09
-7109375,5.97523173e-09
-7104492.188,7.794271343e-11
-7099609.375,2.88437387e-08
-7094726.562,6.436832335e-09
-7089843.75,1.218239147e-09
-7084960.938,1.513506833e-08
-7080078.125,2.419689973e-09
-7075195.312,3.637550953e-08
-7070312.5,7.932072899e-09
-7065429.688,9.289406681e-09
-7060546.875,6.400537544e-09
-7055664.062,1.6055721e-08
-7050781.25,1.195424992e-08
-7045898.438,1.459945798e-08
-7041015.625,1.548002358e-08
-7036132.812,3.366036988e-09
-7031250,4.726251375e-08
-7026367.188,3.436589038e-08
-7021484.375,1.982182256e-09
-7016601.562,1.565828699e-08
-7011718.75,1.748603409e-08
-7006835.938,2.148770317e-08
-7001953.125,1.347327285e-08
-6997070.312,1.067011369e-08
-6992187.5,1.264761147e-08
-6987304.688,2.32035807e-08
-6982421.875,1.097545298e-08
-6977539.062,9.499719288e-09
-6972656.25,1.434924033e-08
-6967773.438,1.856144583e-08
-6962890.625,1.020510413e-10
-6958007.812,1.169963326e-08
-6953125,3.853078608e-09
-6948242.188,2.790701382e-09
-6943359.375,1.958542998e-09
-6938476.562,9.496873802e-09
-6933593.75,1.744383855e-08
-6928710.938,5.48550423e-09
-6923828.125,1.604954923e-08
-6918945.312,1.622574002e-08
-6914062.5,1.361241997e-10
-6909179.688,3.166622187e-08
-6904296.875,6.70265229e-09
-6899414.062,1.222764511e-08
-6894531.25,2.646088767e-08
-6889648.438,4.679184281e-09
-6884765.625,5.015787052e-09
-6879882.812,1.539079035e-09
-6875000,6.096095551e-09
-6870117.188,5.020961141e-09
-6865234.375,6.928622375e-09
-6860351.562,4.373207326e-08
-6855468.75,6.59129944e-09
-6850585.938,4.960607068e-08
-6845703.125,7.755423019e-09
-6840820.312,1.148518432e-08
-6835937.5,3.621641531e-11
-6831054.688,1.506983482e-08
-6826171.875,1.985442998e-08
-6821289.062,8.451669864e-08
-6816406.25,2.227776082e-09
-6811523.438,5.124584076e-09
-6806640.625,1.39852056e-08
-6801757.812,2.215457951e-08
-6796875,2.087307476e-10
-6791992.188,6.808452505e-09
-6787109.375,1.093442557e-08
-6782226.562,4.935362411e-09
-6777343.75,8.195959378e-09
-6772460.938,8.758511324e-09
