Frequency_Hz,PSD
-6401367.188,1.39675965e-08
-6396484.375,1.375923987e-08
-6391601.562,1.373288099e-08
-6386718.75,1.419171827e-08
-6381835.938,1.471251871e-08
-6376953.125,1.52675344e-08
-6372070.312,1.641485244e-08
-6367187.5,1.803712305e-08
-6362304.688,2.023287467e-08
-6357421.875,2.19125753e-08
-6352539.062,2.282130135e-08
-6347656.25,2.333905761e-08
-6342773.438,2.567786092e-08
-6337890.625,2.975928781e-08
-6333007.812,3.608819497e-08
-6328125,4.203501815e-08
-6323242.188,4.369211355e-08
-6318359.375,4.381451576e-08
-6313476.562,4.576609265e-08
-6308593.75,5.093402722e-08
-6303710.938,5.405284157e-08
-6298828.125,5.630847586e-08
-6293945.312,5.033259828e-08
-6289062.5,3.903035205e-08
-6284179.688,2.97245287e-08
-6279296.875,2.717620943e-08
-6274414.062,2.821651731e-08
-6269531.25,2.710474589e-08
-6264648.438,2.452402295e-08
-6259765.625,2.219162661e-08
-6254882.812,2.083967877e-08
-6250000,2.086647776e-08
-6245117.188,2.159254419e-08
-6240234.375,2.090498895e-08
-6235351.562,1.842160527e-08
-6230468.75,1.602830823e-08
-6225585.938,1.43981109e-08
-6220703.125,1.397357362e-08
-6215820.312,1.412167552e-08
-6210937.5,1.394012541e-08
-6206054.688,1.384415592e-08
-6201171.875,1.391612797e-08
-6196289.062,1.347281821e-08
-6191406.25,1.358594784e-08
-6186523.438,1.378563558e-08
-6181640.625,1.384063278e-08
-6176757.812,1.357838042e-08
-6171875,1.369756422e-08
-6166992.188,1.377972265e-08
-6162109.375,1.39411463e-08
-6157226.562,1.539109796e-08
-6152343.75,1.482888053e-08
-6147460.938,1.381300616e-08
-6142578.125,1.363914463e-08
-6137695.312,1.365871591e-08
-6132812.5,1.390048215e-08
-6127929.688,1.422767707e-08
-6123046.875,1.382905297e-08
-6118164.062,1.356037053e-08
-6113281.25,1.358236765e-08
-6108398.438,1.364671144e-08
-6103515.625,1.369039e-08
-6098632.812,1.343602091e-08
