Trace
Swept SA
A.34.06,N9000B
183420000,-68.7608795166016
186410000,-88.9855346679688
189400000,-68.5711364746094
192390000,-81.3185424804688
195380000,-67.7522888183594
198370000,-80.731201171875
201360000,-69.1209259033203
204350000,-80.2307968139648
207340000,-66.3815002441406
210330000,-84.9928741455078
213320000,-69.246696472168
216310000,-81.9359512329102
219300000,-67.2010498046875
222290000,-88.9991149902344
225280000,-68.8762130737305
228270000,-81.5540084838867
231260000,-66.3593292236328
234250000,-88.8661651611328
237240000,-67.2069854736328
240230000,-92.3235778808594
243220000,-70.3064880371094
246210000,-79.1618728637695
249200000,-67.8028335571289
252190000,-95.3256072998047
255180000,-67.5789489746094
258170000,-87.0431442260742
261160000,-68.8168563842773
264150000,-85.8572311401367
267140000,-65.7524490356445
270130000,-90.6022567749023
273120000,-65.8489990234375
276110000,-81.6554336547852
279100000,-70.0352096557617
282090000,-84.6470642089844
285080000,-69.211051940918
288070000,-80.5840454101563
291060000,-68.5441665649414
294050000,-89.9843215942383
297040000,-65.6754150390625
300030000,-86.7966079711914
303020000,-70.2964096069336
306010000,-84.1790161132813
309000000,-69.5049209594727
311990000,-79.0014190673828
314980000,-70.9616012573242
317970000,-81.4811325073242
320960000,-67.5287475585938
323950000,-91.3645935058594
326940000,-68.3622055053711
329930000,-86.1746063232422
332920000,-70.3591613769531
335910000,-93.2109298706055
338900000,-69.8307800292969
341890000,-85.8108901977539
344880000,-70.043212890625
347870000,-86.8229370117188
350860000,-71.8291473388672
353850000,-90.6079025268555
356840000,-69.5374603271484
359830000,-91.6738204956055
362820000,-67.5135803222656
365810000,-89.392707824707
368800000,-70.5159378051758
371790000,-83.3494644165039
374780000,-69.0324859619141
377770000,-89.8883895874023
380760000,-69.5172958374023
383750000,-89.2340469360352
386740000,-69.8771667480469
389730000,-86.1830825805664
392720000,-71.9567947387695
395710000,-83.4532775878906
398700000,-69.4085235595703
401690000,-93.4841842651367
404680000,-67.3651504516602
407670000,-86.295524597168
410660000,-71.9692840576172
413650000,-78.3579635620117
416640000,-66.3438339233398
419630000,-86.6832962036133
422620000,-68.0164794921875
425610000,-88.3424530029297
428600000,-68.7385940551758
431590000,-84.2132568359375
434580000,-70.9687957763672
437570000,-84.1004409790039
440560000,-68.0648345947266
443550000,-82.6481475830078
446540000,-70.4547882080078
449530000,-81.0077133178711
452520000,-68.8797607421875
455510000,-84.6088409423828
458500000,-68.3909606933594
461490000,-83.6555633544922
464480000,-71.1726379394531
467470000,-90.6366653442383
470460000,-69.4476776123047
473450000,-91.3685989379883
476440000,-68.950065612793
479430000,-80.8126449584961
482420000,-68.3745498657227
485410000,-81.9166488647461
488400000,-66.0914764404297
491390000,-81.1064453125
494380000,-67.7315521240234
497370000,-94.8670883178711
500360000,-68.1038589477539
503350000,-77.6354598999023
506340000,-69.2368240356445
509330000,-83.4301300048828
512320000,-68.3648834228516
515310000,-84.8350219726563
518300000,-67.0299301147461
521290000,-82.7768936157227
524280000,-69.2204666137695
527270000,-84.5764465332031
530260000,-68.45068359375
533250000,-91.5558319091797
536240000,-70.8852233886719
539230000,-86.9812774658203
542220000,-66.4414901733398
545210000,-87.5630416870117
548200000,-71.07421875
551190000,-77.0744552612305
554180000,-69.0690078735352
557170000,-83.4276733398438
560160000,-71.0552368164063
563150000,-89.3362579345703
566140000,-69.9076919555664
569130000,-89.6049423217773
572120000,-69.5170593261719
575110000,-87.8951721191406
578100000,-68.9576187133789
581090000,-86.1429290771484
584080000,-68.1130218505859
587070000,-76.6900177001953
590060000,-67.7615661621094
593050000,-76.4319000244141
596040000,-67.15576171875
599030000,-79.9088439941406
602020000,-67.5007781982422
605010000,-81.9210586547852
608000000,-67.0835113525391
610990000,-91.1579208374023
613980000,-66.8382263183594
616970000,-85.9959030151367
619960000,-70.1265106201172
622950000,-82.1435470581055
625940000,-67.0406875610352
628930000,-76.6177368164063
631920000,-66.7329330444336
634910000,-91.7179183959961
637900000,-71.3829193115234
